is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,marketCap,trailingPE,priceToBook,dividendYield,averageVolume,sector,value_score,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,-0.46666653951009107,-0.3249994913736979,True,False,賣出 (動能轉弱),18.049999237060547,2026-08-03 00:00:00,18.525000190734865,-0.02499999999999858,False,False,1.7508085806229683,True,0.000416028871069444,24.627519332055005,0.0004238869359452001,0.0004342433440945175,-0.1947580083781042,2.096159206829462,5.9898965469666665,-0.1947580083781042,False,False,False,False,False,False,0.4655519924053496,False,-0.06233770197088073,中性,1418.TW,東華,980313536.0,nan,0.8228858,nan,31441,Consumer Cyclical,0.6161314413741598,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,162,0.5564738292011019,162,0.5564738292011019,191,0.4765840220385675,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-1.3083343505859375,-1.2166678110758462,True,False,賣出 (動能轉弱),35.29999923706055,2026-08-03 00:00:00,36.33499984741211,-0.06750011444091797,False,False,0.11201713433796921,False,0.0008136188062098848,43.378719887448625,0.0008353633268752361,0.0008709842361521858,-0.2732514577223011,1.3981360083063388,-0.08226862488939224,-0.2732514577223011,False,False,False,False,False,False,0.16577295361639305,False,-0.14906878047650107,中性,1423.TW,利華,3517574400.0,9.438502,0.95081615,10.04,259437,Consumer Cyclical,0.9004654764946346,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,163,0.5537190082644629,163,0.5537190082644629,192,0.4738292011019284,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-0.17499971389770508,-0.14999977747599283,True,False,賣出 (動能轉弱),15.0,2026-08-03 00:00:00,15.0875,-0.01500000953674352,False,False,1.0122064631332262,False,0.000345730378382992,44.58471402446009,0.00034742387926656865,0.0003562334614548473,-0.05128370314743114,2.496267207513414,3.5084912147133274,-0.05128370314743114,False,False,False,False,False,False,0.4286587796211961,False,-0.0625,中性,1432.TW,大魯閣,1620000000.0,2.7624311,1.0132396,13.25,351548,Consumer Cyclical,0.9184119860043826,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,164,0.5509641873278237,164,0.5509641873278237,193,0.47107438016528924,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,0.525000254313151,0.46666685740152986,True,False,買入 (動能增強),31.25,2026-08-03 00:00:00,30.944999980926514,-0.014999961853025212,False,True,1.5950600920331583,True,0.0007202716216312333,46.179052884122704,0.0007124072270692627,0.0007136008204031104,0.11633712430456633,3.608228600109342,8.289046813922972,0.11633712430456633,True,True,False,False,False,False,0.5907228717859645,False,-0.014195607322052495,偏強 (RS上升),1437.TW,勤益控,6292844032.0,11.405109,0.7627905,3.04,169937,Real Estate,0.7339555053543001,2,v1,phase6a,2026-07-12,0,2,3,2,2,2,v1,34,0.9090909090909091,34,0.9090909090909091,57,0.8457300275482094,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,0.8249998092651367,1.091666539510091,True,False,觀望 (動能減弱),29.149999618530273,2026-08-03 00:00:00,29.285000038146972,0.022499942779539595,False,False,0.6356304795777051,False,0.0006718693598652363,25.103712692847893,0.0006724008308538282,0.0006664173581873016,-0.008319391915512231,3.350776144043044,11.49209514644054,-0.008319391915512231,False,True,True,False,False,False,0.5655950494011973,False,-0.039538739632837605,中性,1442.TW,名軒,10675079168.0,14.872449,1.3196613,15.73,473583,Real Estate,0.7779755989757348,2,v1,phase6a,2026-07-12,0,2,3,2,2,2,v1,35,0.90633608815427,35,0.90633608815427,58,0.8429752066115702,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,True
True,1,-0.23333295186360675,-0.18333276112874347,True,False,賣出 (動能轉弱),26.5,2026-08-03 00:00:00,26.355000019073486,0.005000019073484907,False,True,0.9065406321047552,False,0.0006107903351432859,41.339626899933634,0.0006057208822097387,0.000611838165041796,0.0881754563829773,2.2405163516773463,4.336979213635117,0.0881754563829773,True,False,False,False,False,False,0.5770619230406712,False,-0.05017919848287167,中性,1443.TW,立益物流,3586589696.0,24.090908,1.5711151,nan,26502,Industrials,0.4904877952910656,0,v1,phase6a,2026-07-12,0,0,2,0,0,0,v1,165,0.5482093663911846,165,0.5482093663911846,194,0.46831955922865015,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,0.20833333333333331,0.2000001271565755,True,False,買入 (動能增強),17.549999237060547,2026-08-03 00:00:00,17.332499694824218,0.004999923706055398,False,True,0.5691644822079606,False,0.00040450452512334425,46.069508085914535,0.0003991757078380682,0.0004013611798975882,0.14071935207984332,3.262044547965992,7.212883113541713,0.14071935207984332,True,True,False,False,False,False,0.6321576943119229,False,0.0,偏強 (RS上升),1451.TW,年興,3474899968.0,19.7191,0.47359473,5.71,191126,Consumer Cyclical,0.7698109130971332,4,v1,phase6a,2026-07-12,0,4,6,4,4,4,v1,5,0.9889807162534435,5,0.9889807162534435,16,0.9586776859504132,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,True
False,0,-0.35833326975504554,-0.2749999364217122,False,True,強烈賣出 (跌破),11.199999809265137,2026-08-03 00:00:00,11.577499961853027,-0.037499999999999645,False,False,0.637552845139134,False,0.0002581453447964449,34.47940637855053,0.0002629906540298321,0.00026369790080382673,-0.19356023602868921,2.148077657890668,9.28741111051865,-0.19356023602868921,False,False,False,False,False,False,0.5706253214657236,False,-0.06276150727789187,中性,1452.TW,宏益,1485579136.0,nan,0.56,1.75,113944,Consumer Cyclical,0.5745147332819891,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,166,0.5454545454545454,166,0.5454545454545454,195,0.465564738292011,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,1,-0.058333396911621094,-0.04166666666666666,True,False,賣出 (動能轉弱),11.149999618530273,2026-08-03 00:00:00,11.16499991416931,-0.020000028610230203,False,False,0.5167512485518073,False,0.00025699290580564587,24.300074683757835,0.00025743295959419505,0.00026814178017431925,-0.017990360714903453,2.2574355329309403,2.6107512976557112,-0.017990360714903453,False,False,False,False,False,False,0.4380040682226899,False,-0.06302521210438738,中性,1453.TW,大將,1262666624.0,111.49999,0.8794762,nan,90917,Consumer Cyclical,0.46802405565818955,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,167,0.5426997245179064,167,0.5426997245179064,196,0.4628099173553719,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-0.07499996821085612,-0.10833326975504558,True,False,觀察 (跌勢收斂),13.0,2026-08-03 00:00:00,12.772499942779541,-0.005000019073486683,False,True,0.5021481742179251,False,0.0002996329945985931,32.64302678534737,0.00029441253305581875,0.000302836095947205,0.1869994682851095,2.818844955083577,4.045059004725027,0.1869994682851095,True,False,False,False,False,False,0.494734411183619,False,-0.05109487730005191,中性,1454.TW,台富,1587559936.0,nan,1.1906942,1.94,46470,Consumer Cyclical,0.49766750587347525,1,v1,phase6a,2026-07-12,0,1,2,1,1,1,v1,92,0.7493112947658402,92,0.7493112947658402,123,0.6639118457300276,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,1,0.22499990463256836,0.1249996821085612,True,False,買入 (動能增強),14.100000381469727,2026-08-03 00:00:00,13.827500057220458,-0.009999990463256836,False,True,0.4970617104218608,False,0.0003249865644723907,29.63112570551527,0.00032047660228379005,0.000325776530519635,0.14835315269117189,3.0628123185761913,2.412858458649003,0.14835315269117189,True,False,False,False,False,True,0.6583329960851075,False,-0.09615384380257819,偏強 (RS上升),1456.TW,怡華,1321452032.0,4.0869565,0.6969502,nan,106040,Real Estate,0.8015244421733946,3,v1,phase6a,2026-07-12,1,4,4,4,3,4,v1,17,0.9559228650137741,17,0.9559228650137741,23,0.9393939393939394,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,True,False
