is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,marketCap,trailingPE,priceToBook,dividendYield,averageVolume,sector,error,value_score,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,0.6000003814697266,0.7166671752929688,True,False,觀望 (動能減弱),58.0,2026-07-29 00:00:00,58.545000076293945,-0.12000007629394815,False,False,4.073262641311016,True,0.001448581126104021,54.98268614811829,0.0013330396498154537,0.0013564046289112398,0.9207713571165677,2.218286998446417,3.7112824657518306,0.9207713571165677,True,True,False,True,False,True,1.0,True,-0.039735123596819855,強勢 (RS強勁),1341.TW,富林-KY,3065358080.0,14.250613,2.5829437,6.85,9505.0,Consumer Cyclical,nan,0.6251845531125615,2,v1,phase6a,2026-07-12,2,4,2,4,2,4,v1,42,0.9288194444444444,42,0.9288194444444444,48,0.9184027777777778,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,True
True,0,-0.4833335876464844,-0.16666666666666666,True,False,賣出 (動能轉弱),24.799999237060547,2026-07-29 00:00:00,26.289999866485594,-0.03000001907348704,False,False,0.37482581511231733,False,0.0006193932900379316,37.9459420668744,0.0005922591251712795,0.0006285047230379627,0.4845968511233867,1.1073390237388958,6.55031260870409,0.4845968511233867,True,False,False,False,False,True,0.5737758678875821,False,-0.13657873441788726,偏強 (RS上升),1410.TW,南染,1537600000.0,42.75862,1.4713734,0.81,129394.0,Consumer Cyclical,nan,0.2891973222116985,0,v1,phase6a,2026-07-12,1,1,0,1,0,1,v1,269,0.5347222222222222,269,0.5347222222222222,341,0.4097222222222222,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.033332824707031236,-0.0666662851969401,True,False,觀察 (跌勢收斂),18.450000762939453,2026-07-29 00:00:00,18.56750020980835,0.0350000381469755,False,False,0.672320294495699,False,0.0004607986703758428,27.56644491193964,0.0004222766160031911,0.0004347718333797219,0.9695703143712375,2.880077067084419,5.016257789674317,0.9695703143712375,True,True,False,False,False,True,0.9600846579587164,False,-0.0415584019252232,偏強 (RS上升),1418.TW,東華,1002038016.0,nan,0.84112155,nan,32713.0,Consumer Cyclical,nan,0.6103549506271685,1,v1,phase6a,2026-07-12,1,2,2,2,1,2,v1,128,0.7795138888888888,128,0.7795138888888888,188,0.6753472222222222,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
False,0,0.9666671752929688,0.4333343505859375,False,True,強烈買入 (爆發),70.0999984741211,2026-07-29 00:00:00,66.84499931335449,0.25499992370605185,False,True,3.0646115919845247,True,0.0017507850815436637,83.44049170040215,0.0015292869861436855,0.0015459428590758697,1.5482092842885375,3.511899765478832,5.43618002570232,1.5482092842885375,True,True,False,True,False,True,1.0,False,0.0,強勢 (RS強勁),1419.TW,新紡,20976513024.0,17.09756,1.0260988,2.64,167541.0,Consumer Cyclical,nan,0.5856165307328672,3,v1,phase6a,2026-07-12,2,5,5,5,3,5,v1,18,0.9704861111111112,18,0.9704861111111112,18,0.9704861111111112,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-1.0583343505859373,-0.9583339691162107,True,False,賣出 (動能轉弱),35.75,2026-07-29 00:00:00,36.53250007629394,-0.07500000000000284,False,False,0.6123149594104513,False,0.0008928754354865303,51.401562107513705,0.00083337121416167,0.0008739672409886781,0.7572898803585248,0.6757795151080881,-2.2699770158324695,0.7572898803585248,True,True,False,False,False,True,0.6634211994877754,False,-0.13822119672945787,偏強 (RS上升),1423.TW,利華,3562416128.0,9.558824,0.96293706,10.08,268578.0,Consumer Cyclical,nan,0.8891023906560339,0,v1,phase6a,2026-07-12,1,1,0,1,0,1,v1,270,0.5329861111111112,270,0.5329861111111112,342,0.4079861111111111,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.16666650772094727,-0.15833314259847003,True,False,賣出 (動能轉弱),15.0,2026-07-29 00:00:00,15.114999961853027,-0.009999990463256836,True,False,1.400411371790075,False,0.00037463304985448824,52.33330152371025,0.00034421962934606717,0.0003561261018617605,0.9387805485710166,1.8353983712864563,1.5696452246647619,0.9387805485710166,True,True,False,True,False,True,1.0,True,-0.0625,強勢 (RS強勁),1432.TW,大魯閣,1620000000.0,2.4916945,1.0132396,13.33,355911.0,Consumer Cyclical,nan,0.9118274419792173,0,v1,phase6a,2026-07-12,2,2,0,2,0,2,v1,271,0.53125,271,0.53125,270,0.5329861111111112,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,0.12500031789143878,0.05000019073486327,True,False,買入 (動能增強),31.100000381469727,2026-07-29 00:00:00,30.872499847412108,0.04250001907348633,False,True,1.7564080901996062,True,0.0007767391995590501,51.131837855076235,0.000700837413962933,0.0007100962327050996,1.1531626702877995,2.7285932226811305,6.909746548172202,1.1531626702877995,True,True,False,True,False,True,1.0,True,-0.01426303855697797,強勢 (RS強勁),1437.TW,勤益控,6262638592.0,11.350365,0.7591291,3.12,163452.0,Real Estate,nan,0.7382824023747311,2,v1,phase6a,2026-07-12,2,4,4,4,2,4,v1,43,0.9270833333333334,43,0.9270833333333334,49,0.9166666666666666,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.016667366027832017,-0.1250006357828776,True,False,觀察 (跌勢收斂),22.25,2026-07-29 00:00:00,21.887500095367432,-0.03249998092651296,True,True,1.912037519048205,True,0.0005557056906174909,15.690360959080246,0.0004995536711565031,0.0005384667314459848,1.1973713192852342,2.6592914427730374,1.3848741545129828,1.1973713192852342,True,True,False,False,False,True,0.9877531982586407,False,-0.07484404549530232,偏強 (RS上升),1438.TW,三地開發,2474328064.0,13.484849,0.7703226,nan,126666.0,Real Estate,nan,0.715832215518239,1,v1,phase6a,2026-07-12,1,2,2,2,1,2,v1,129,0.7777777777777778,129,0.7777777777777778,189,0.6736111111111112,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,1,-0.2083330154418945,-0.10000006357828775,True,False,賣出 (動能轉弱),26.200000762939453,2026-07-29 00:00:00,26.382499980926514,-0.0024999618530259227,True,False,3.4690429826032005,True,0.0006543590794673284,45.97000246387164,0.000600729832118437,0.0006109079045013489,0.9486354502105554,1.6547500958397299,2.463850877626883,0.9486354502105554,True,True,False,False,False,True,0.9447488819740761,False,-0.06093185945643298,偏強 (RS上升),1443.TW,立益物流,3545986816.0,23.818182,1.553329,nan,26505.0,Industrials,nan,0.4779838395044285,0,v1,phase6a,2026-07-12,1,1,0,1,0,1,v1,272,0.5295138888888888,272,0.5295138888888888,343,0.40625,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,0.14166641235351562,0.12499999999999999,True,False,買入 (動能增強),17.399999618530273,2026-07-29 00:00:00,17.30499973297119,0.017500019073484196,False,True,1.2024559287973788,False,0.0004345743283037952,55.17661222601536,0.00039386691232625045,0.00039992514246892997,1.0998947647915314,2.7159579833655467,5.63965810110334,1.0998947647915314,True,True,False,True,False,True,1.0,True,-0.00571430751255575,強勢 (RS強勁),1451.TW,年興,3445199872.0,19.550562,0.4695469,5.75,194206.0,Consumer Cyclical,nan,0.7714909453828649,4,v1,phase6a,2026-07-12,2,6,6,6,4,6,v1,1,1.0,1,1.0,2,0.9982638888888888,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,True
True,0,-0.19999996821085608,-0.21666653951009113,True,False,觀察 (跌勢收斂),11.300000190734863,2026-07-29 00:00:00,11.63499994277954,0.030000019073485262,False,False,0.968299743449278,False,0.00028222356898742,39.86071728081779,0.00026134878722646333,0.0002632218354363183,0.8479001441962453,2.3768481346580828,10.237231565194094,0.8479001441962453,True,True,False,True,False,True,1.0,True,-0.05439327438535291,強勢 (RS強勁),1452.TW,宏益,1498843264.0,nan,0.565,1.75,114344.0,Consumer Cyclical,nan,0.5738263895686386,1,v1,phase6a,2026-07-12,2,3,2,3,1,3,v1,130,0.7760416666666666,130,0.7760416666666666,132,0.7725694444444444,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.11666647593180338,-0.15833330154418943,True,False,觀察 (跌勢收斂),11.050000190734863,2026-07-29 00:00:00,11.214999961853028,-0.007499980926512606,False,False,2.042507105423373,True,0.00027597968482317856,27.09591277611009,0.0002554583281448341,0.00026863274798427173,0.8528062707501727,1.7798017561327928,1.0140468410050563,0.8528062707501727,True,True,False,False,False,True,0.7578762946746161,False,-0.07142852563388491,偏強 (RS上升),1453.TW,大將,1251342336.0,110.5,0.8715886,nan,90736.0,Consumer Cyclical,nan,0.46439824335866664,1,v1,phase6a,2026-07-12,1,2,1,2,1,2,v1,131,0.7743055555555556,131,0.7743055555555556,190,0.671875,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
